ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-06-13T05:34:56Z,ios,3997316,NZ,115.189.91.251,,,,,#122 ME30╳豔諜列傳！淫亂背後的算計、美色掩藏的愛國心——被歷史錯待的她們｜亂叨侃史10,時間的女兒：八卦歷史,spotify:episode:1Tjs34Yzcq2bdT4KoukqOk,clickrow,endplay,False,True,False,1686630500,False
2023-06-13T20:38:18Z,ios,3654791,NZ,219.89.193.250,,,,,愚樂89｜蔡阿嘎點名日本難吃餐廳被炎上 道歉多次難平眾怒！媽媽包喜舖老闆惡意倒債仍炫富！錄音前快報：鍾成虎發長文控訴陳綺貞假面,愚樂百昏百,spotify:episode:4QcU2E1R4NKQX1XgXXwSBH,clickrow,endplay,False,True,False,1686684888,False
2023-06-15T08:19:07Z,ios,5555792,NZ,203.211.104.46,,,,,腳の皮～現在厚厚的～〖 歐遊小本本 #04 〗,童話裡都是騙人的,spotify:episode:4KIPslkrUJSNv8LK9kjcCI,clickrow,endplay,False,True,False,1686808749,False
2023-06-18T09:29:23Z,ios,1689088,NZ,122.56.198.53,,,,,The KK Show -  200  賈培德 德仔,百靈果 News,spotify:episode:53b4AAxJ9fV9Xp590TS48F,clickrow,unexpected-exit-while-paused,False,False,False,1687078868,False
2023-06-18T19:46:51Z,ios,8312,NZ,122.56.198.53,,,,,EP223｜劉軒 x 誰來晚餐：人生最重要的責任之一，就是自己的快樂 ft. Ivy,劉軒的How to人生學,spotify:episode:0Wf2lQSFcYGV1BvqPuy9Bc,trackerror,endplay,False,True,True,1687117603,False
2023-06-19T08:20:57Z,ios,128917,NZ,203.211.107.6,,,,,#123王子復仇後改演八點檔：囂張小三、惡毒繼母、叔嫂亂來？不斷反轉的鬧劇｜羅曼諾夫23,時間的女兒：八卦歷史,spotify:episode:2QIQiGIQJItS80EyncYPA9,clickrow,unexpected-exit-while-paused,False,False,False,1687162728,False
2023-06-19T19:44:51Z,ios,9914,NZ,203.211.107.6,,,,,#123王子復仇後改演八點檔：囂張小三、惡毒繼母、叔嫂亂來？不斷反轉的鬧劇｜羅曼諾夫23,時間的女兒：八卦歷史,spotify:episode:2QIQiGIQJItS80EyncYPA9,appload,endplay,False,True,False,1687169264,False
2023-06-19T20:48:29Z,ios,3758915,NZ,219.89.193.250,,,,,我不是要檢討你大會〖 歐遊小本本 #05 〗,童話裡都是騙人的,spotify:episode:2KHXjvaO26c07igvFoiTBI,clickrow,endplay,False,True,False,1687203892,False
2023-06-20T02:18:33Z,ios,2089808,NZ,219.89.193.250,,,,,我不是要檢討你大會〖 歐遊小本本 #05 〗,童話裡都是騙人的,spotify:episode:2KHXjvaO26c07igvFoiTBI,clickrow,endplay,False,True,False,1687225414,False
2023-06-20T02:21:08Z,ios,149652,NZ,219.89.193.250,,,,,百靈果NEWS | 韓國緊張日本要排核廢水、中國大使叫韓國不要親美、美國me too 近況、Black Pink Jennie演戲被批太性感？,百靈果 News,spotify:episode:4g86wS2l2J70njy4miQozl,trackdone,endplay,False,True,False,1687227515,False
2023-06-20T05:04:23Z,ios,1898905,NZ,219.89.193.250,,,,,#123王子復仇後改演八點檔：囂張小三、惡毒繼母、叔嫂亂來？不斷反轉的鬧劇｜羅曼諾夫23,時間的女兒：八卦歷史,spotify:episode:2QIQiGIQJItS80EyncYPA9,clickrow,endplay,False,True,False,1687233795,False
2023-06-20T06:51:30Z,ios,5390628,NZ,203.211.107.6,,,,,我不是要檢討你大會〖 歐遊小本本 #05 〗,童話裡都是騙人的,spotify:episode:2KHXjvaO26c07igvFoiTBI,clickrow,unexpected-exit-while-paused,False,False,True,1687238193,False
2023-06-20T10:30:28Z,ios,1165246,NZ,203.211.107.6,,,,,我不是要檢討你大會〖 歐遊小本本 #05 〗,童話裡都是騙人的,spotify:episode:2KHXjvaO26c07igvFoiTBI,clickrow,unexpected-exit-while-paused,False,False,False,1687246265,False
2023-06-20T19:35:44Z,ios,23018,NZ,203.211.107.6,,,,,我不是要檢討你大會〖 歐遊小本本 #05 〗,童話裡都是騙人的,spotify:episode:2KHXjvaO26c07igvFoiTBI,appload,endplay,False,True,False,1687289720,False
2023-06-20T19:46:57Z,ios,667138,NZ,203.211.107.6,,,,,愚樂90｜Me Too燒進台灣娛樂圈 多位男星私下竟是大色狼！黃子佼的核彈級爆料本週來不及錄（但本集有廣末涼子外遇）,愚樂百昏百,spotify:episode:5OzESMFQGeqJoW8lUGdfer,clickrow,unexpected-exit-while-paused,False,False,False,1687289745,False
2023-06-21T07:52:42Z,ios,3662015,NZ,203.211.107.6,,,,,愚樂90｜Me Too燒進台灣娛樂圈 多位男星私下竟是大色狼！黃子佼的核彈級爆料本週來不及錄（但本集有廣末涼子外遇）,愚樂百昏百,spotify:episode:5OzESMFQGeqJoW8lUGdfer,trackerror,endplay,False,True,True,1687327438,False
2023-06-21T08:01:08Z,ios,501721,NZ,203.211.107.6,,,,,討論黃子佼事件,百靈果 News,spotify:episode:3puGy8Q4YTxhNpsv9Y6BLi,trackdone,endplay,False,True,False,1687333964,False
2023-06-21T08:57:06Z,ios,750709,NZ,203.211.107.6,,,,,【海獅生日特輯】漢堡紅燈區有條女生勿入的神秘街道？脫衣酒吧裡面到底有什麼？神奇海獅前世今生大揭秘！,海獅說---生活裡的小世界史,spotify:episode:2xaNYwkn5pzMbUpgpQrb2m,trackdone,endplay,False,True,False,1687334469,False
2023-06-21T09:13:57Z,ios,481442,NZ,203.211.107.6,,,,,S5E12｜清代奏摺：是機密檔案還是閒話家常！？,宮說宮有理－國立故宮博物院 National Palace Museum,spotify:episode:5pLgAmvyeGPLob5o1VZL6a,trackdone,unexpected-exit-while-paused,False,False,True,1687337829,False
2023-06-21T19:38:29Z,ios,15348,NZ,203.211.107.6,,,,,S5E12｜清代奏摺：是機密檔案還是閒話家常！？,宮說宮有理－國立故宮博物院 National Palace Museum,spotify:episode:5pLgAmvyeGPLob5o1VZL6a,appload,endplay,False,True,False,1687376292,False
2023-06-21T20:47:31Z,ios,2122977,NZ,219.89.193.250,,,,,愚樂90｜Me Too燒進台灣娛樂圈 多位男星私下竟是大色狼！黃子佼的核彈級爆料本週來不及錄（但本集有廣末涼子外遇）,愚樂百昏百,spotify:episode:5OzESMFQGeqJoW8lUGdfer,clickrow,endplay,False,True,False,1687376310,False
2023-06-22T03:12:11Z,ios,2164168,NZ,219.89.193.250,,,,,愚樂90｜Me Too燒進台灣娛樂圈 多位男星私下竟是大色狼！黃子佼的核彈級爆料本週來不及錄（但本集有廣末涼子外遇）,愚樂百昏百,spotify:episode:5OzESMFQGeqJoW8lUGdfer,clickrow,endplay,False,True,False,1687401368,False
