ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-12-14T23:39:43Z,ios,41896,NZ,219.89.193.250,,,,,S3EP14 善嵐慶女仙拼仙：女子天團來巡香！善嵐慶女雙手合十恭迎聖駕！Feat.阿路八,善嵐慶女,spotify:episode:3XNylLN7ZQ0EblQKNZjUYZ,trackdone,endplay,False,True,False,1702597141,False
2023-12-14T23:40:17Z,ios,32786,NZ,219.89.193.250,,,,,S2EP4 善嵐慶女同學會：三十拉警報！面對迷惘超危機！feat. 李劭婕&呂名堯,善嵐慶女,spotify:episode:6BhLmpUGJnfIvj6rSfFwAZ,clickrow,endplay,False,True,False,1702597183,False
2023-12-15T00:49:13Z,ios,4137299,NZ,219.89.193.250,,,,,S2EP20 善嵐慶女同學會：人生起落依舊hold住全場！亞洲頂流女明星大駕光臨！feat.謝依霖,善嵐慶女,spotify:episode:6ddTXBSkQJioxmmvHBNmfS,clickrow,trackdone,False,False,False,1702597217,False
2023-12-15T01:33:44Z,ios,2244228,NZ,219.89.193.250,,,,,夏日Q&A特輯首部曲：乾媽來了，Chill for Life！,善嵐慶女,spotify:episode:2SSOhasZXIzWPdbrSwRmAe,trackdone,endplay,False,True,False,1702601354,False
2023-12-15T02:31:20Z,ios,2741881,NZ,219.89.193.250,,,,,S3EP14 善嵐慶女仙拼仙：女子天團來巡香！善嵐慶女雙手合十恭迎聖駕！Feat.阿路八,善嵐慶女,spotify:episode:3XNylLN7ZQ0EblQKNZjUYZ,clickrow,endplay,False,True,False,1702604025,False
2023-12-15T03:08:46Z,ios,358330,NZ,219.89.193.250,,,,,S3EP14 善嵐慶女仙拼仙：女子天團來巡香！善嵐慶女雙手合十恭迎聖駕！Feat.阿路八,善嵐慶女,spotify:episode:3XNylLN7ZQ0EblQKNZjUYZ,clickrow,logout,False,False,False,1702609368,False
2023-12-15T03:16:08Z,ios,440175,NZ,219.89.193.250,,,,,S3EP14 善嵐慶女仙拼仙：女子天團來巡香！善嵐慶女雙手合十恭迎聖駕！Feat.阿路八,善嵐慶女,spotify:episode:3XNylLN7ZQ0EblQKNZjUYZ,appload,endplay,False,True,False,1702609729,False
2023-12-15T03:16:46Z,ios,5781,NZ,219.89.193.250,,,,,#235｜半熟告解太誠實了吧 ft. 理想混蛋 ♪,童話裡都是騙人的,spotify:episode:4PMSfZVKzPYgQh0Pu2e9ib,trackdone,endplay,False,True,False,1702610172,False
2023-12-15T03:47:24Z,ios,1834701,NZ,219.89.193.250,,,,,EP281｜家喻戶曉台灣女歌星下班遭綁被迫拍裸照！犯罪同夥竟皆為少年輔育院院生！| 李雅芳裸照勒贖案(上),我在案發現場,spotify:episode:5nklLhiIWON3Mwhu6fFQ91,clickrow,unexpected-exit-while-paused,False,False,False,1702610208,False
2023-12-15T03:59:31Z,ios,2647,NZ,115.189.88.157,,,,,EP281｜家喻戶曉台灣女歌星下班遭綁被迫拍裸照！犯罪同夥竟皆為少年輔育院院生！| 李雅芳裸照勒贖案(上),我在案發現場,spotify:episode:5nklLhiIWON3Mwhu6fFQ91,appload,endplay,False,True,False,1702612748,False
