artist_name,genres
Tanya Chua,singaporean singer-songwriter
Tanya Chua,taiwan singer-songwriter
Rachel Liang,mandopop
Jolin Tsai,mandopop
LaLa Hsu,mandopop
Karen Mok,mandopop
Young Thug,hip hop
Young Thug,rap
Eric IV,afroswing
Doja Cat,pop
DaBaby,hip hop
DaBaby,rap
Soulja Boy,hip hop
Soulja Boy,pop
Soulja Boy,rap
Soulja Boy,chicago bop
Akon,pop
Ren Ran,mandopop
Harlem Yu,mandopop
Michael Wong,mandopop
Rainie Yang,mandopop
Gary Chaw,mandopop
Jordan Chan,mandopop
Rixton,pop
Rixton,talent show
Rixton,post-pop
Bruno Mars,pop
Shontelle,pop
Shontelle,post-pop
Shontelle,talent show
Destiny's Child,girl group
Destiny's Child,pop
Destiny's Child,r&b
Destiny's Child,urban contemporary
Hunter Hayes,country
Hunter Hayes,country road
Hunter Hayes,rock
Hunter Hayes,contemporary country
Pets Tseng,mandopop
Janice Yan,mandopop
Lin Hsin Yi,mandopop
Cyndi Wang,mandopop
林凡,mandopop
Silence Wang,mandopop
Silence Wang,chinese singer-songwriter
Della,mandopop
Eve Ai,mandopop
Show Luo,mandopop
Claire Kuo,mandopop
831,mandopop
Victor Wong,mandopop
Yen-J,mandopop
Evan Yo,mandopop
胡66,mandopop
TANK 呂建忠,mandopop
Shi Shi,mandopop
Valen Hsu,mandopop
Nicky Lee,mandopop
Jason Zhang,mandopop
Nine Chen,mandopop
Yoyo Sham,indie
Yoyo Sham,cantopop
Vicky Chen,mandopop
Crowd Lu,indie
Crowd Lu,taiwan singer-songwriter
Crowd Lu,mandopop
Kelly Yu,mandopop
Xiao Yu,mandopop
Sandy Lam,mandopop
Will Pan,mandopop
Jason Chan,cantopop
James Arthur,pop
James Arthur,talent show
Jacky Cheung,mandopop
Khalil Fong,mandopop
Khalil Fong,r&b
Janice Vidal,cantopop
Penny Tai,mandopop
Wanting,mandopop
Ann Bai,port=443): read timed out. (read timeout=5)
Ann Bai,error: httpsconnectionpool(host='api.spotify.com'
Fiona Sit,cantopop
Diana Wang,mandopop
Kimberley Chen,mandopop
Nan Quan Mama,mandopop
Candy Lo,cantopop
Shiga Lin,cantopop
Hua Chen Yu,hip hop
Tim McGraw,country
Tim McGraw,country road
Tim McGraw,contemporary country
OneRepublic,pop
OneRepublic,rock
Ricky Hsiao,mandopop
黃齡,mandopop
Alien Huang,mandopop
J.Sheon,mandopop
Jia Jia,mandopop
Zhang Zhen Yue,mandopop
Leo Ku,cantopop
Waa Wei,indie
Waa Wei,mandopop
Waa Wei,taiwan singer-songwriter
Beyond,mandopop
Beyond,rock
Beyond,cantopop
Tangerine Wong,mandopop
Zhou Shen,mandopop
Zhou Shen,chinese talent show
Ariel Tsai,mandopop
Ada Zhuang,mandopop
Ada Zhuang,chinese singer-songwriter
阿涵,mandopop
Miriam Yeung,cantopop
王錚亮,mandopop
TIA RAY,mandopop
TIA RAY,jazz
劉瑞琦,mandopop
南征北戰,mandopop
Li Yugang,mandopop
Boon Hui Lu,mandopop
Boon Hui Lu,singaporean singer-songwriter
金莎,mandopop
陳粒,chinese singer-songwriter
陳粒,chinese minyao
Chilam,cantopop
Xu Wei,indie
Xu Wei,mandopop
Xu Wei,chinese singer-songwriter
A-do,mandopop
王天戈fenella,mandopop
Wang Feng,mandopop
Wang Feng,chinese singer-songwriter
易烊千璽,mandopop
易烊千璽,chinese idol pop
Kay Tse,cantopop
Kary Ng,cantopop
Jinny Ng,cantopop
Kelly Chen,mandopop
Kelly Chen,cantopop
Grasshopper,mandopop
Grasshopper,cantopop
