artist_name,genres
Migos,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap"
Tory Lanez,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap"
Aitch,"manchester hip hop, uk hip hop"
Tyllionaire,no genres found
Veronica Vega,"rap latina, trap queen"
Lil Baby,"atl hip hop, atl trap, rap, trap"
Luniz,"g funk, oakland hip hop, west coast rap"
Tyga,"hip hop, pop rap, rap, southern hip hop, trap"
Mustard,"cali rap, pop rap, rap, southern hip hop, trap"
Starr Lyfe,no genres found
Christine Fan,mandopop
A-Lin,mandopop
Nicholas Teo,"malaysian mandopop, mandopop"
BY2,"mandopop, singaporean mandopop, singaporean pop"
Rene Liu,"mandopop, taiwan singer-songwriter"
Tanya Chua,"mandopop, singaporean mandopop, singaporean pop, singaporean singer-songwriter, taiwan singer-songwriter"
Rachel Liang,mandopop
Jolin Tsai,mandopop
LaLa Hsu,"mandopop, taiwan singer-songwriter"
Karen Mok,mandopop
Young Thug,"atl hip hop, atl trap, gangster rap, hip hop, melodic rap, rap, trap"
Eric IV,afroswing
Day Sulan,no genres found
Doja Cat,"dance pop, pop"
DaBaby,"hip hop, north carolina hip hop, pop rap, rap, trap"
Soulja Boy,"atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap"
Akon,dance pop
Ren Ran,"mainland mandopop, mandopop"
Harlem Yu,mandopop
Michael Wong,"malaysian mandopop, mandopop"
Rainie Yang,mandopop
Gary Chaw,"malaysian mandopop, mandopop"
Jordan Chan,mandopop
Redfoo,no genres found
Rixton,"post-teen pop, talent show, teen pop, viral pop"
Bruno Mars,"dance pop, pop"
Shontelle,"barbadian pop, dance pop, post-teen pop, talent show"
Destiny's Child,"dance pop, girl group, pop, r&b, urban contemporary"
Hunter Hayes,"contemporary country, country, country road, modern country rock"
Pets Tseng,mandopop
Janice Yan,mandopop
Lin Hsin Yi,mandopop
Cyndi Wang,mandopop
林凡,mandopop
Silence Wang,"chinese singer-songwriter, mainland mandopop"
Della,mandopop
Eve Ai,"mandopop, taiwan singer-songwriter"
Show Luo,mandopop
Claire Kuo,mandopop
831,"mandopop, taiwan idol pop"
Victor Wong,"malaysian mandopop, mandopop"
Yen-J,mandopop
Evan Yo,"mandopop, taiwan singer-songwriter"
胡66,"chinese viral pop, mainland mandopop"
TANK 呂建忠,mandopop
Shi Shi,mandopop
Valen Hsu,mandopop
Nicky Lee,mandopop
Jason Zhang,mainland mandopop
Nine Chen,"mandopop, taiwan singer-songwriter"
Yoyo Sham,"cantopop, hong kong indie"
Vicky Chen,"mandopop, taiwan singer-songwriter"
Crowd Lu,"mandopop, taiwan indie, taiwan singer-songwriter"
Kelly Yu,"mainland mandopop, mandopop"
Xiao Yu,"mainland mandopop, mandopop, taiwan singer-songwriter"
Sandy Lam,mandopop
Will Pan,mandopop
Jason Chan,cantopop
James Arthur,"pop, talent show, uk pop"
Jacky Cheung,mandopop
Khalil Fong,"chinese r&b, mandopop"
Janice Vidal,cantopop
Penny Tai,"malaysian mandopop, mandopop, taiwan singer-songwriter"
Wanting,mandopop
Ann Bai,"error: httpsconnectionpool(host='api.spotify.com', port=443): read timed out. (read timeout=5)"
Fiona Sit,cantopop
Diana Wang,mandopop
Kimberley Chen,mandopop
Nan Quan Mama,mandopop
Candy Lo,cantopop
Shiga Lin,cantopop
Hua Chen Yu,chinese hip hop
Tim McGraw,"contemporary country, country, country road"
OneRepublic,"piano rock, pop"
Ricky Hsiao,"mandopop, taiwan singer-songwriter"
許光漢,no genres found
黃齡,mainland mandopop
Alien Huang,mandopop
J.Sheon,"mandopop, taiwan singer-songwriter"
Jia Jia,mandopop
Zhang Zhen Yue,"mandopop, taiwan singer-songwriter"
Leo Ku,cantopop
Waa Wei,"chinese indie, mandopop, taiwan indie, taiwan singer-songwriter"
Beyond,"cantopop, classic cantopop, hong kong rock, mandopop"
Tangerine Wong,"malaysian mandopop, mandopop"
Zhou Shen,"chinese talent show, mainland mandopop"
Ariel Tsai,mandopop
Ada Zhuang,"chinese singer-songwriter, mainland mandopop, mandopop"
阿涵,"chinese viral pop, mainland mandopop, mandopop"
Miriam Yeung,cantopop
王錚亮,mainland mandopop
TIA RAY,"jazz, mainland mandopop"
劉瑞琦,mainland mandopop
南征北戰,mainland mandopop
Li Yugang,"mainland mandopop, mandopop"
Boon Hui Lu,"mandopop, singaporean mandopop, singaporean pop, singaporean singer-songwriter"
金莎,"mainland mandopop, mandopop"
陳粒,"chinese minyao, chinese singer-songwriter"
Chilam,"cantopop, classic cantopop"
Xu Wei,"chinese singer-songwriter, mandopop, northwest china indie"
A-do,"mandopop, singaporean mandopop, singaporean pop"
王天戈fenella,chinese viral pop
Wang Feng,"chinese singer-songwriter, mainland mandopop"
易烊千璽,"chinese idol pop, mainland mandopop"
Kay Tse,cantopop
Kary Ng,cantopop
Jinny Ng,cantopop
Kelly Chen,"cantopop, classic cantopop, mandopop"
Grasshopper,"cantopop, classic cantopop, mandopop"
Pakho Chau,cantopop
Twins,cantopop
Vincy Chan,cantopop
Wilfred Lau,cantopop
Zhang Bichen,mainland mandopop
徐良,mainland mandopop
音阙诗听,"chinese viral pop, mainland mandopop, zhongguo feng"
TFBOYS,"chinese idol pop, mainland mandopop, mandopop"
DNCE,"dance pop, pop"
Alessia Cara,"canadian contemporary r&b, canadian pop, pop"
Hailee Steinfeld,pop
Jonathan Lee,"mandopop, taiwan singer-songwriter"
Queena Cui,mainland mandopop
李宗盛,"mandopop, taiwan singer-songwriter"
Jackson Wang,k-pop
Mariah Carey,"dance pop, pop, urban contemporary"
林志炫,mandopop
MC HotDog,"mandopop, taiwan hip hop"
ZICO,"k-pop, korean r&b"
DAY6,"k-pop, k-pop boy group"
GOT7,"k-pop, k-pop boy group"
Eric Nam,k-pop
PENTAGON,"k-pop, k-pop boy group"
MONSTA X,"k-pop, k-pop boy group"
JJ Project,k-pop
WINNER,"k-pop, k-pop boy group"
Stray Kids,"k-pop, k-pop boy group, pop"
SuperM,k-pop
NCT 127,"k-pop, k-pop boy group"
ONEUS,"k-pop, k-pop boy group"
ATEEZ,"k-pop, k-pop boy group"
The Rose,"k-pop, k-pop boy group"
Jay Park,"k-pop, k-rap, korean r&b"
Moon Chew,singaporean mandopop
Jung Yong Hwa,korean pop
Dan McKinna,no genres found
賴雅妍,no genres found
The Weeknd,"canadian contemporary r&b, canadian pop, pop"
Moux,focus
Tosh Møller,background piano
Eric Badanti,background piano
Jef Martens,no genres found
SYML,modern indie pop
Sigrid Vass,background piano
Rosie Carney,"indie folk, irish singer-songwriter"
Mewael Yemane,background piano
Jacob David,neo-classical
Rich Music LTD,urbano latino
Rae Sremmurd,"melodic rap, mississippi hip hop, pop rap, rap, trap"
Mélanie Laurent,french pop
Eric Cadogan,background piano
Ana Olgica,focus
Jordane Tumarinson,neo-classical
Valbona Ceferin,background piano
Quinn MacKenzie,background piano
Max Richter,"compositional ambient, post-minimalism"
Hayden James,"aussietronica, gauze pop, house"
Lyfes,no genres found
MEDUZA,"dance pop, edm, pop house, uk dance"
Normani,"pop, r&b"
ROSALÍA,"pop, r&b en espanol"
Coldplay,"permanent wave, pop"
Parsa Sirjani,no genres found
CADMIUM,no genres found
Adon,"chill house, tropical house"
Jonas Brothers,"boy band, pop"
Kygo,"dance pop, edm, pop, tropical house"
Tiësto,"big room, brostep, dance pop, dutch edm, edm, house, progressive electro house, slap house, trance"
Martin Garrix,"dance pop, dutch edm, edm, pop, progressive house"
Fly By Midnight,singer-songwriter pop
Mark Mendy,no genres found
Major Lazer,"dance pop, edm, electro house, moombahton, pop"
Ariana Grande,pop
SHAED,electropop
Lizzo,"escape room, minnesota hip hop, pop, trap queen"
2 Man Embassy,no genres found
Mabel,"pop, uk pop"
Anuel AA,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino"
G-Eazy,"indie pop rap, oakland hip hop, pop rap, rap"
Peder B. Helland,no genres found
Colbie Caillat,"dance pop, neo mellow, pop"
孙露,chinese audiophile
童安格,mandopop
Wakin Chau,mandopop
Danny Chan,"cantopop, classic cantopop, mandopop"
Priscilla Chan,"cantopop, classic cantopop, mandopop"
Alan Tam,"classic cantopop, mandopop"
Anita Mui,"cantopop, classic cantopop, mandopop"
廖小璇,"classic cantopop, vintage cantonese pop"
Andy Lau,"cantopop, mandopop"
陳良泉,vintage mandopop
Teresa Teng,"kayokyoku, mandopop"
羅鈾霞,not found
黃蜀娟,vintage mandopop
Dou Wei,"chinese experimental, chinese indie rock, chinese post-rock"
邰正宵,mandopop
谭艳,chinese audiophile
趙詠華,mandopop
Landy Wen,mandopop
張德蘭,"cantonese opera, classic cantopop"
蔡國權,"classic cantopop, mandopop"
Leslie Cheung,"cantopop, mandopop"
Hacken Lee,"cantopop, classic cantopop, mandopop"
Roman Tam,"cantopop, classic cantopop, mandopop"
呂珊,classic cantopop
相思,j-pop
郭雯雯 (风采姐妹),no genres found
Zhan Ai Ling 湛爱铃,no genres found
Regard,"dance pop, pop edm, slap house, uk dance"
Avicii,"dance pop, edm, pop"
GASHI,deep underground hip hop
Dan + Shay,"contemporary country, country, country road"
Kanye West,"chicago rap, hip hop, rap"
Travis Scott,"rap, slap house"
KAROL G,"reggaeton, reggaeton colombiano, urbano latino"
Black Eyed Peas,"dance pop, pop, pop rap"
Post Malone,"dfw rap, melodic rap, pop, rap"
Christina Perri,pop
Kelly Clarkson,"dance pop, pop, talent show"
楊洋,mainland mandopop
Where Chou,mandopop
王源,"chinese idol pop, chinese singer-songwriter, mainland mandopop"
